epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.754,1.47187,2.15389,1.66681,0.63597,0.49522,0.57144,0.29162,1.4961,2.37059,1.91609,0.00065625,0.00065625,0.00065625
2,74.3308,1.4747,1.77153,1.66351,0.44219,0.32283,0.24802,0.06657,2.50971,2.93653,3.89487,0.00129672,0.00129672,0.00129672
3,110.577,1.5058,1.63541,1.6748,0.50671,0.38824,0.39157,0.16311,2.13118,2.03028,2.2692,0.0019108,0.0019108,0.0019108
4,146.604,1.49633,1.50956,1.65216,0.58092,0.57874,0.58102,0.25289,1.89415,1.6949,2.24716,0.0018812,0.0018812,0.0018812
5,182.335,1.51995,1.45304,1.6766,0.70874,0.62992,0.66724,0.31846,1.79658,1.7578,2.09502,0.0018416,0.0018416,0.0018416
6,219.346,1.48158,1.34563,1.64253,0.67931,0.67552,0.67595,0.33023,1.59912,1.38198,1.84573,0.001802,0.001802,0.001802
7,255.335,1.4481,1.31112,1.61931,0.72882,0.69291,0.72734,0.38258,1.58821,1.36519,1.95716,0.0017624,0.0017624,0.0017624
8,291.104,1.40488,1.18879,1.56364,0.73829,0.72441,0.7376,0.38689,1.60494,1.26152,1.82559,0.0017228,0.0017228,0.0017228
9,327.389,1.4272,1.18781,1.59007,0.80835,0.81102,0.85478,0.46009,1.50909,1.07152,1.80461,0.0016832,0.0016832,0.0016832
10,363.117,1.3772,1.14533,1.5477,0.8429,0.73622,0.82814,0.45545,1.46094,1.20431,1.71732,0.0016436,0.0016436,0.0016436
11,399.204,1.38678,1.1327,1.54399,0.8252,0.75984,0.846,0.46753,1.50653,1.01073,1.77087,0.001604,0.001604,0.001604
12,436.399,1.34412,1.09226,1.50998,0.88411,0.78089,0.85875,0.50421,1.42046,1.04112,1.6718,0.0015644,0.0015644,0.0015644
13,472.378,1.31684,1.03765,1.50639,0.80996,0.79921,0.81052,0.42436,1.59576,1.14402,1.79178,0.0015248,0.0015248,0.0015248
14,509.254,1.32278,1.04493,1.52774,0.81939,0.82162,0.86777,0.51471,1.38585,0.99239,1.6441,0.0014852,0.0014852,0.0014852
15,546.283,1.28851,1.01282,1.46467,0.7999,0.83465,0.86119,0.48975,1.48488,1.0198,1.72786,0.0014456,0.0014456,0.0014456
16,583.559,1.3081,1.00071,1.49114,0.88483,0.83071,0.90305,0.53492,1.32771,0.92256,1.58173,0.001406,0.001406,0.001406
17,620.174,1.28816,0.98776,1.48732,0.87495,0.8264,0.89037,0.51301,1.4383,0.92234,1.68475,0.0013664,0.0013664,0.0013664
18,656.354,1.25118,0.93169,1.44304,0.89321,0.85617,0.91837,0.5452,1.33658,0.85482,1.62989,0.0013268,0.0013268,0.0013268
19,692.787,1.24946,0.9031,1.43194,0.90932,0.82911,0.89641,0.47083,1.55401,0.90083,1.75061,0.0012872,0.0012872,0.0012872
20,729.009,1.26115,0.9103,1.45853,0.88836,0.88189,0.91656,0.50179,1.47632,0.90477,1.66126,0.0012476,0.0012476,0.0012476
21,767.722,1.22256,0.89332,1.41502,0.89178,0.84355,0.88859,0.5062,1.48771,0.86701,1.74084,0.001208,0.001208,0.001208
22,807.047,1.22109,0.89729,1.40381,0.92283,0.87402,0.93495,0.5751,1.29495,0.7546,1.51507,0.0011684,0.0011684,0.0011684
23,845.532,1.17979,0.85671,1.39133,0.90966,0.90157,0.9323,0.58325,1.27755,0.76067,1.54632,0.0011288,0.0011288,0.0011288
24,881.23,1.19039,0.83938,1.39826,0.92258,0.8914,0.94322,0.60438,1.27522,0.729,1.5107,0.0010892,0.0010892,0.0010892
25,917.502,1.16776,0.80887,1.37488,0.93431,0.89597,0.93074,0.58456,1.30951,0.74198,1.56002,0.0010496,0.0010496,0.0010496
26,953.181,1.15351,0.80851,1.35757,0.93667,0.87338,0.93411,0.58856,1.29247,0.72056,1.52906,0.00101,0.00101,0.00101
27,990.418,1.1643,0.78851,1.38487,0.91026,0.88976,0.92249,0.56241,1.32934,0.77184,1.54795,0.0009704,0.0009704,0.0009704
28,1026.6,1.15803,0.77524,1.37076,0.9183,0.90945,0.93906,0.59042,1.24137,0.71502,1.49433,0.0009308,0.0009308,0.0009308
29,1062.74,1.15227,0.8023,1.37436,0.93806,0.89438,0.94729,0.58153,1.29176,0.69938,1.53476,0.0008912,0.0008912,0.0008912
30,1099.35,1.11887,0.75067,1.34702,0.90161,0.90945,0.93029,0.58913,1.22856,0.70382,1.47807,0.0008516,0.0008516,0.0008516
31,1135.61,1.1438,0.75795,1.36828,0.94858,0.89764,0.94908,0.60426,1.21939,0.66672,1.46887,0.000812,0.000812,0.000812
32,1172.41,1.1191,0.72565,1.34188,0.92435,0.91406,0.95113,0.62491,1.20185,0.67713,1.45639,0.0007724,0.0007724,0.0007724
33,1209.09,1.12576,0.73322,1.3516,0.93283,0.87795,0.92512,0.56325,1.35098,0.72198,1.56903,0.0007328,0.0007328,0.0007328
34,1246.6,1.08628,0.70051,1.3314,0.92497,0.91339,0.9419,0.6052,1.28043,0.63688,1.52957,0.0006932,0.0006932,0.0006932
35,1283.88,1.07148,0.68126,1.30663,0.93597,0.9208,0.94702,0.60944,1.21373,0.64925,1.4573,0.0006536,0.0006536,0.0006536
36,1320.45,1.07589,0.69383,1.31682,0.94606,0.89774,0.94145,0.61259,1.21923,0.64495,1.48196,0.000614,0.000614,0.000614
37,1357.05,1.07801,0.71233,1.33599,0.92544,0.91732,0.93628,0.60174,1.23081,0.64564,1.4909,0.0005744,0.0005744,0.0005744
38,1393.54,1.06635,0.68597,1.30711,0.93091,0.90174,0.93914,0.60158,1.21308,0.6311,1.46415,0.0005348,0.0005348,0.0005348
39,1429.94,1.02888,0.65378,1.28868,0.93348,0.8937,0.94166,0.58204,1.32384,0.63582,1.5514,0.0004952,0.0004952,0.0004952
40,1466.65,1.06313,0.67136,1.31594,0.96829,0.8937,0.94431,0.61706,1.20638,0.62831,1.44714,0.0004556,0.0004556,0.0004556
41,1501.82,0.89476,0.52447,1.26281,0.94276,0.90551,0.94618,0.60614,1.24723,0.62689,1.48051,0.000416,0.000416,0.000416
42,1541.63,0.89969,0.48235,1.25269,0.95434,0.88189,0.93124,0.59039,1.25768,0.64703,1.5411,0.0003764,0.0003764,0.0003764
43,1578.36,0.85922,0.46699,1.244,0.95387,0.89543,0.95147,0.62115,1.20338,0.59974,1.44963,0.0003368,0.0003368,0.0003368
44,1613.55,0.84813,0.46651,1.2207,0.96195,0.89577,0.95155,0.6124,1.23561,0.60625,1.45967,0.0002972,0.0002972,0.0002972
45,1648.33,0.86344,0.44937,1.22785,0.93551,0.91382,0.95178,0.6101,1.21818,0.61054,1.47684,0.0002576,0.0002576,0.0002576
46,1683.26,0.8219,0.43612,1.20718,0.94999,0.89764,0.94274,0.62155,1.19299,0.60774,1.45263,0.000218,0.000218,0.000218
47,1718.3,0.82378,0.42792,1.20566,0.95798,0.8975,0.94398,0.6169,1.20969,0.60166,1.45782,0.0001784,0.0001784,0.0001784
48,1753.26,0.80597,0.42984,1.19466,0.95562,0.90551,0.94713,0.63308,1.16146,0.58504,1.41846,0.0001388,0.0001388,0.0001388
49,1788.03,0.80754,0.42178,1.18318,0.96615,0.89909,0.94941,0.62365,1.1843,0.59343,1.44217,9.92e-05,9.92e-05,9.92e-05
50,1823.46,0.78366,0.41892,1.18689,0.93706,0.92126,0.94051,0.62505,1.18911,0.59081,1.45532,5.96e-05,5.96e-05,5.96e-05
