epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9548,1.59864,4.22821,1.77788,0.06757,0.32283,0.04945,0.01488,2.40764,22.7208,4.54677,0.00065625,0.00065625,0.00065625
2,91.9005,1.63729,1.70841,1.78047,0.09551,0.19291,0.03875,0.01352,2.84901,4.88714,3.40673,0.00129672,0.00129672,0.00129672
3,136.965,1.67197,1.63297,1.80837,0.26631,0.30709,0.19176,0.07047,2.28771,3.07793,2.76271,0.0019108,0.0019108,0.0019108
4,182.941,1.64218,1.61449,1.79099,0.40806,0.40982,0.31684,0.13168,2.22194,2.281,2.59471,0.0018812,0.0018812,0.0018812
5,229.988,1.60927,1.49789,1.7638,0.63735,0.51575,0.56228,0.24748,1.82786,2.2911,2.21143,0.0018416,0.0018416,0.0018416
6,276.773,1.56529,1.42455,1.72231,0.71074,0.64173,0.66868,0.30166,1.67968,1.6307,2.00499,0.001802,0.001802,0.001802
7,323.094,1.52432,1.35409,1.69645,0.751,0.69685,0.72707,0.3633,1.68334,1.57115,2.06303,0.0017624,0.0017624,0.0017624
8,369.949,1.46548,1.26749,1.61811,0.74512,0.63303,0.65966,0.26082,1.93261,1.64532,2.28637,0.0017228,0.0017228,0.0017228
9,416.401,1.44285,1.2258,1.61938,0.76398,0.72639,0.75035,0.36807,1.59331,1.37033,1.93158,0.0016832,0.0016832,0.0016832
10,463.044,1.41542,1.19002,1.59567,0.66167,0.69296,0.68756,0.34338,1.54742,1.62186,1.8059,0.0016436,0.0016436,0.0016436
11,509.781,1.41758,1.16653,1.57745,0.85556,0.72047,0.82154,0.44131,1.54999,1.11171,1.79296,0.001604,0.001604,0.001604
12,556.764,1.40296,1.14461,1.562,0.85473,0.77953,0.84282,0.44549,1.53557,1.07903,1.78715,0.0015644,0.0015644,0.0015644
13,605.114,1.35055,1.12475,1.53725,0.88219,0.74016,0.78701,0.38267,1.71338,1.31222,1.91632,0.0015248,0.0015248,0.0015248
14,652.127,1.36426,1.10673,1.55178,0.83144,0.77679,0.8462,0.4864,1.42341,1.0969,1.71131,0.0014852,0.0014852,0.0014852
15,699.489,1.32337,1.05363,1.51411,0.84608,0.82238,0.86491,0.48436,1.41981,1.00078,1.71525,0.0014456,0.0014456,0.0014456
16,746.672,1.33649,1.0404,1.51379,0.8788,0.74219,0.80283,0.44162,1.48958,1.12039,1.7624,0.001406,0.001406,0.001406
17,794.305,1.29356,1.0194,1.49974,0.82439,0.84252,0.88635,0.52971,1.38548,0.8946,1.61131,0.0013664,0.0013664,0.0013664
18,841.492,1.25447,0.96631,1.44708,0.90381,0.81383,0.89408,0.52144,1.38885,0.89642,1.66637,0.0013268,0.0013268,0.0013268
19,888.144,1.28645,0.9572,1.47113,0.86141,0.80315,0.87537,0.49948,1.43433,0.93494,1.6717,0.0012872,0.0012872,0.0012872
20,934.953,1.26608,0.94559,1.47585,0.92468,0.83465,0.91231,0.5259,1.39832,0.8437,1.60332,0.0012476,0.0012476,0.0012476
21,981.723,1.23953,0.92193,1.43293,0.92484,0.872,0.9333,0.54904,1.31592,0.83635,1.57032,0.001208,0.001208,0.001208
22,1028.25,1.24962,0.89975,1.43566,0.92521,0.8767,0.91888,0.56423,1.3182,0.76704,1.56296,0.0011684,0.0011684,0.0011684
23,1075.14,1.2098,0.88496,1.43044,0.92433,0.86567,0.91647,0.55281,1.34013,0.79241,1.55856,0.0011288,0.0011288,0.0011288
24,1121.78,1.21663,0.86242,1.42524,0.9127,0.82318,0.91302,0.5696,1.26372,0.81174,1.53769,0.0010892,0.0010892,0.0010892
25,1169.06,1.20542,0.84373,1.40898,0.91071,0.88341,0.92569,0.58505,1.25379,0.77284,1.52842,0.0010496,0.0010496,0.0010496
26,1218.52,1.19294,0.8528,1.39959,0.89018,0.87795,0.9165,0.57876,1.2864,0.7211,1.52569,0.00101,0.00101,0.00101
27,1270.75,1.18807,0.81821,1.41055,0.91231,0.87008,0.9191,0.54789,1.35894,0.76343,1.57081,0.0009704,0.0009704,0.0009704
28,1322.52,1.18941,0.81846,1.39719,0.91216,0.88976,0.92365,0.5703,1.29518,0.73935,1.55548,0.0009308,0.0009308,0.0009308
29,1371.81,1.17704,0.82495,1.39748,0.89968,0.8827,0.92724,0.55505,1.34547,0.75754,1.58997,0.0008912,0.0008912,0.0008912
30,1418.71,1.13596,0.78436,1.36668,0.92579,0.90157,0.93641,0.59327,1.24394,0.71731,1.48324,0.0008516,0.0008516,0.0008516
31,1467.98,1.16215,0.78715,1.3922,0.90763,0.88977,0.92087,0.56941,1.30825,0.74164,1.54162,0.000812,0.000812,0.000812
32,1514.67,1.13325,0.7549,1.35917,0.92521,0.8767,0.93406,0.61284,1.21885,0.6983,1.505,0.0007724,0.0007724,0.0007724
